date,price_market_USD,price_market_EUR,price_official_EUR
2014-03-22,0.002966,0.002153316,0.0061
2014-03-23,0.004526,0.003285876,0.0061
2014-03-24,0.004129,0.002997654,0.0061
2014-03-25,0.004854,0.0035201208,0.0061
2014-03-26,0.004141,0.0030026391,0.0061
2014-03-27,0.004095,0.0029766555,0.0061
2014-03-28,0.001026,0.0007456968,0.0061
2014-03-29,0.00157,0.001138721,0.0061
2014-03-30,0.001483,0.0010756199,0.0061
2014-03-31,0.00325,0.002357225,0.0061
2014-04-01,0.002289,0.0016599828,0.0061
2014-04-02,0.003874,0.0028082626,0.0061
2014-04-03,0.001846,0.0013405652,0.0061
2014-04-04,0.002179,0.0015904521,0.0061
2014-04-05,0.002239,0.0016315593,0.0061
2014-04-06,0.002695,0.0019638465,0.0061
2014-04-07,0.002893,0.0021081291,0.0061
2014-04-08,0.003367,0.002444442,0.0061
2014-04-09,0.006188,0.0044863,0.0061
2014-04-10,0.010117,0.0072953687,0.0061
2014-04-11,0.005283,0.0038085147,0.0061
2014-04-12,0.007896,0.0057103872,0.0061
2014-04-13,0.012615,0.009123168,0.0061
2014-04-14,0.024084,0.0174175488,0.0061
2014-04-15,0.019211,0.0139183695,0.0061
2014-04-16,0.007734,0.005587815,0.0061
2014-04-17,0.014812,0.0106913016,0.0061
2014-04-18,0.017249,0.0124831013,0.0061
2014-04-19,0.012322,0.0089174314,0.0061
2014-04-20,0.013544,0.0098017928,0.0061
2014-04-21,0.014605,0.0105696385,0.0061
2014-04-22,0.00895,0.006477115,0.0061
2014-04-23,0.007879,0.0056957291,0.0061
2014-04-24,0.006682,0.0048350952,0.0061
2014-04-25,0.005057,0.003656211,0.0061
2014-04-26,0.004063,0.0029310482,0.0061
2014-04-27,0.003663,0.0026424882,0.0061
2014-04-28,0.003534,0.0025494276,0.0061
2014-04-29,0.00269,0.001945677,0.0061
2014-04-30,0.003122,0.002254084,0.0061
2014-05-01,0.00335,0.00241669,0.0061
2014-05-02,0.002973,0.0021447222,0.0061
2014-05-03,0.002912,0.0020989696,0.0061
2014-05-04,0.002234,0.0016102672,0.0061
2014-05-05,0.002399,0.0017291992,0.0061
2014-05-06,0.00193,0.001384003,0.0061
2014-05-07,0.002441,0.001752638,0.0061
2014-05-08,0.00238,0.001705746,0.0061
2014-05-09,0.005537,0.0040176472,0.0061
2014-05-10,0.004671,0.0033934815,0.0061
2014-05-11,0.003716,0.002699674,0.0061
2014-05-12,0.003535,0.0025681775,0.0061
2014-05-13,0.002898,0.0021149604,0.0061
2014-05-14,0.002929,0.0021349481,0.0061
2014-05-15,0.002232,0.0016340472,0.0061
2014-05-16,0.002426,0.0017712226,0.0061
2014-05-17,0.001826,0.0013313366,0.0061
2014-05-18,0.001962,0.0014304942,0.0061
2014-05-19,0.001946,0.0014188286,0.0061
2014-05-20,0.001704,0.0012435792,0.0061
2014-05-21,0.002186,0.0015984032,0.0061
2014-05-22,0.002021,0.0014785636,0.0061
2014-05-23,0.001836,0.0013470732,0.0061
2014-05-24,0.001431,0.0010494954,0.0061
2014-05-25,0.001728,0.0012673152,0.0061
2014-05-26,0.002172,0.0015929448,0.0061
2014-05-27,0.002153,0.0015785796,0.0061
2014-05-28,0.001824,0.0013404576,0.0061
2014-05-29,0.001604,0.0011782984,0.0061
2014-05-30,0.001875,0.0013779375,0.0061
2014-05-31,0.001784,0.0013107048,0.0061
2014-06-01,0.001391,0.0010219677,0.0061
2014-06-02,0.001865,0.0013702155,0.0061
2014-06-03,0.001916,0.0014042364,0.0061
2014-06-04,0.001609,0.0011806842,0.0061
2014-06-05,0.001553,0.0011447163,0.0061
2014-06-06,0.001127,0.000826091,0.0061
2014-06-07,0.001203,0.0008840847,0.0061
2014-06-08,0.001179,0.0008664471,0.0061
2014-06-09,0.001115,0.0008194135,0.0061
2014-06-10,0.00111,0.000819402,0.0061
2014-06-11,0.001058,0.0007810156,0.0061
2014-06-12,0.001095,0.000809424,0.0061
