date,official_price_EUR
2015-01-13,0.0061
2015-03-15,0.0061
2015-03-16,0.0067
2015-03-22,0.0067
2015-03-23,0.0074
2015-03-29,0.0074
2015-03-30,0.0083
2015-04-01,0.0091
2015-04-03,0.0091
2015-04-04,0.0100
2015-04-08,0.0100
2015-04-09,0.0105
2015-04-12,0.0105
2015-04-13,0.0111
2015-04-15,0.0111
2015-04-16,0.0118
2015-04-17,0.0125
2015-04-18,0.0133
2015-04-21,0.0133
2015-04-22,0.0154
2015-05-01,0.0154
2015-05-02,0.0167
2015-05-08,0.0167
2015-05-09,0.0182
2015-05-10,0.0182
2015-05-11,0.0200
2015-05-13,0.0200
2015-05-14,0.0222
2015-05-15,0.0250
2015-05-16,0.0286
2015-05-17,0.0313
2015-05-18,0.0357
2015-05-19,0.0385
2015-05-20,0.0435
2015-05-21,0.0500
2015-05-22,0.0588
2015-05-23,0.0667
2015-05-24,0.0714
2015-05-30,0.0714
2015-05-31,0.0625
2015-06-07,0.0625
2015-06-08,0.0556
2015-06-09,0.0556
2015-06-10,0.0500
2017-05-17,0.0500
2017-05-18,0.0667
2017-06-14,0.0667
2017-06-15,0.1000
2017-07-12,0.1000
2017-07-13,0.2000
2017-08-09,0.2000
2017-08-10,0.5000
2017-09-13,0.5000
2017-09-14,0.6000
2017-11-01,0.6000
